,Date,CloseSharePrice,model,office,candidate,win_prob
177,8/30/2020 12:00:00 AM,0.02,PredictIt,P,Clinton,0.015267175572519083
178,8/30/2020 12:00:00 AM,0.01,PredictIt,P,Steyer,0.007633587786259542
179,8/30/2020 12:00:00 AM,0.01,PredictIt,P,Jorgensen,0.007633587786259542
180,8/30/2020 12:00:00 AM,0.01,PredictIt,P,West,0.007633587786259542
181,8/30/2020 12:00:00 AM,0.01,PredictIt,P,Hawkins,0.007633587786259542
182,8/31/2020 12:00:00 AM,0.04,PredictIt,P,Harris,0.030303030303030307
183,8/31/2020 12:00:00 AM,0.01,PredictIt,P,Warren,0.007575757575757577
184,8/31/2020 12:00:00 AM,0.01,PredictIt,P,Booker,0.007575757575757577
185,8/31/2020 12:00:00 AM,0.01,PredictIt,P,Kasich,0.007575757575757577
186,8/31/2020 12:00:00 AM,0.58,PredictIt,P,Biden,0.4393939393939394
187,8/31/2020 12:00:00 AM,0.01,PredictIt,P,Sanders,0.007575757575757577
188,8/31/2020 12:00:00 AM,0.01,PredictIt,P,Pence,0.007575757575757577
189,8/31/2020 12:00:00 AM,0.46,PredictIt,P,Trump,0.34848484848484856
190,8/31/2020 12:00:00 AM,0.01,PredictIt,P,Gillibrand,0.007575757575757577
191,8/31/2020 12:00:00 AM,0.01,PredictIt,P,Cuomo,0.007575757575757577
192,8/31/2020 12:00:00 AM,0.01,PredictIt,P,Cuban,0.007575757575757577
193,8/31/2020 12:00:00 AM,0.01,PredictIt,P,Zuckerberg,0.007575757575757577
194,8/31/2020 12:00:00 AM,0.01,PredictIt,P,Klobuchar,0.007575757575757577
195,8/31/2020 12:00:00 AM,0.01,PredictIt,P,Haley,0.007575757575757577
196,8/31/2020 12:00:00 AM,0.01,PredictIt,P,Ryan,0.007575757575757577
197,8/31/2020 12:00:00 AM,0.01,PredictIt,P,O'Rourke,0.007575757575757577
198,8/31/2020 12:00:00 AM,0.01,PredictIt,P,Brown,0.007575757575757577
199,8/31/2020 12:00:00 AM,0.01,PredictIt,P,Bloomberg,0.007575757575757577
200,8/31/2020 12:00:00 AM,0.01,PredictIt,P,Yang,0.007575757575757577
201,8/31/2020 12:00:00 AM,0.01,PredictIt,P,Buttigieg,0.007575757575757577
202,8/31/2020 12:00:00 AM,0.01,PredictIt,P,Gabbard,0.007575757575757577
203,8/31/2020 12:00:00 AM,0.02,PredictIt,P,Clinton,0.015151515151515154
204,8/31/2020 12:00:00 AM,0.01,PredictIt,P,Steyer,0.007575757575757577
205,8/31/2020 12:00:00 AM,0.01,PredictIt,P,Jorgensen,0.007575757575757577
206,8/31/2020 12:00:00 AM,0.01,PredictIt,P,West,0.007575757575757577
207,8/31/2020 12:00:00 AM,0.01,PredictIt,P,Hawkins,0.007575757575757577
208,9/1/2020 12:00:00 AM,0.04,PredictIt,P,Harris,0.030303030303030304
209,9/1/2020 12:00:00 AM,0.01,PredictIt,P,Warren,0.007575757575757576
210,9/1/2020 12:00:00 AM,0.01,PredictIt,P,Booker,0.007575757575757576
211,9/1/2020 12:00:00 AM,0.01,PredictIt,P,Kasich,0.007575757575757576
212,9/1/2020 12:00:00 AM,0.56,PredictIt,P,Biden,0.42424242424242425
213,9/1/2020 12:00:00 AM,0.01,PredictIt,P,Sanders,0.007575757575757576
214,9/1/2020 12:00:00 AM,0.01,PredictIt,P,Pence,0.007575757575757576
215,9/1/2020 12:00:00 AM,0.48,PredictIt,P,Trump,0.3636363636363636
216,9/1/2020 12:00:00 AM,0.01,PredictIt,P,Gillibrand,0.007575757575757576
217,9/1/2020 12:00:00 AM,0.01,PredictIt,P,Cuomo,0.007575757575757576
218,9/1/2020 12:00:00 AM,0.01,PredictIt,P,Cuban,0.007575757575757576
219,9/1/2020 12:00:00 AM,0.01,PredictIt,P,Zuckerberg,0.007575757575757576
220,9/1/2020 12:00:00 AM,0.01,PredictIt,P,Klobuchar,0.007575757575757576
221,9/1/2020 12:00:00 AM,0.01,PredictIt,P,Haley,0.007575757575757576
222,9/1/2020 12:00:00 AM,0.01,PredictIt,P,Ryan,0.007575757575757576
223,9/1/2020 12:00:00 AM,0.01,PredictIt,P,O'Rourke,0.007575757575757576
224,9/1/2020 12:00:00 AM,0.01,PredictIt,P,Brown,0.007575757575757576
225,9/1/2020 12:00:00 AM,0.01,PredictIt,P,Bloomberg,0.007575757575757576
226,9/1/2020 12:00:00 AM,0.01,PredictIt,P,Yang,0.007575757575757576
